departamento,2020,2021,2022,2023,2024,fuente_cuadro
Total,10103.0,12796.0,12239.0,12197.0,13045.0,cuadro 17
Guatemala,4307.0,5352.0,5177.0,5110.0,5290.0,cuadro 17
El Progreso,198.0,271.0,231.0,251.0,297.0,cuadro 17
Sacatepéquez,323.0,438.0,503.0,471.0,574.0,cuadro 17
Chimaltenango,338.0,452.0,444.0,432.0,440.0,cuadro 17
Escuintla,718.0,986.0,1097.0,1369.0,1696.0,cuadro 17
Santa Rosa,314.0,370.0,373.0,411.0,372.0,cuadro 17
Sololá,116.0,161.0,96.0,99.0,106.0,cuadro 17
Totonicapán,76.0,115.0,125.0,53.0,77.0,cuadro 17
Quetzaltenango,323.0,407.0,373.0,371.0,363.0,cuadro 17
Suchitepéquez,324.0,375.0,364.0,300.0,313.0,cuadro 17
Retalhuleu,340.0,361.0,372.0,315.0,300.0,cuadro 17
San Marcos,240.0,302.0,211.0,282.0,226.0,cuadro 17
Huehuetenango,165.0,236.0,176.0,200.0,211.0,cuadro 17
Quiché,160.0,290.0,240.0,179.0,231.0,cuadro 17
Baja Verapaz,153.0,212.0,201.0,212.0,267.0,cuadro 17
Alta Verapaz,470.0,580.0,528.0,506.0,544.0,cuadro 17
Petén,312.0,396.0,350.0,355.0,381.0,cuadro 17
Izabal,344.0,379.0,366.0,354.0,425.0,cuadro 17
Zacapa,234.0,261.0,246.0,220.0,198.0,cuadro 17
Chiquimula,204.0,253.0,205.0,176.0,208.0,cuadro 17
Jalapa,186.0,230.0,189.0,184.0,167.0,cuadro 17
Jutiapa,258.0,369.0,372.0,347.0,359.0,cuadro 17
